atualizacao,id_linha,uf,municipio,empreendimento,eixo,subeixo,modalidade,classificacao,estagio,valor_total_rs,execucao_fisica_pct,ano_prev_conclusao,tipo_executor,link,inclusao_novo_pac,fontes_financiamento,ministerio,atualizacao_str,municipio_upper
2026-03-01,5318,RS,Barra do Quaraí,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,BARRA DO QUARAÍ
2026-03-01,5319,RS,Barra do Ribeiro,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,BARRA DO RIBEIRO
2026-03-01,5320,RS,Barra do Rio Azul,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,BARRA DO RIO AZUL
2026-03-01,5322,RS,Barra Funda,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,17.65,2026,Federal,,Seleção,OGU,MS,2026-03-01,BARRA FUNDA
2026-03-01,5325,RS,Barracão,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,BARRACÃO
2026-03-01,5335,RS,Barros Cassal,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,BARROS CASSAL
2026-03-01,5365,RS,Benjamin Constant do Sul,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,BENJAMIN CONSTANT DO SUL
2026-03-01,5369,RS,Bento Gonçalves,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,11.77,2026,Federal,,Seleção,OGU,MS,2026-03-01,BENTO GONÇALVES
2026-03-01,5407,RS,Boa Vista das Missões,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,BOA VISTA DAS MISSÕES
2026-03-01,5409,RS,Boa Vista do Incra,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,BOA VISTA DO INCRA
2026-03-01,5411,RS,Boa Vista do Sul,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,BOA VISTA DO SUL
2026-03-01,5427,RS,Bom Jesus,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,BOM JESUS
2026-03-01,5439,RS,Bom Princípio,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,BOM PRINCÍPIO
2026-03-01,5442,RS,Bom Progresso,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,BOM PROGRESSO
2026-03-01,5462,RS,Boqueirão do Leão,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,BOQUEIRÃO DO LEÃO
2026-03-01,37124,RS,Boqueirão do Leão,Unidade Odontológica Móvel (UOM) - 1 Veículo,Saúde,Atenção Primária,Seleção 2025 - Unidade Odontológica Móvel - UOM,Equipamento,Em execução,379890.0,0.0,2027,Federal,,Seleção,OGU,MS,2026-03-01,BOQUEIRÃO DO LEÃO
2026-03-01,5474,RS,Bossoroca,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,BOSSOROCA
2026-03-01,5484,RS,Braga,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,BRAGA
2026-03-01,5519,RS,Brochier,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,BROCHIER
2026-03-01,26467,RS,Butiá,Unidade Odontológica Móvel - UOM,Saúde,Atenção Primária,Seleção 2023 - Unidades Odontológicas Móveis - UOMs,Equipamento,Concluído,379890.0,100.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,BUTIÁ
2026-03-01,5557,RS,Caçapava do Sul,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,23.53,2026,Federal,,Seleção,OGU,MS,2026-03-01,CAÇAPAVA DO SUL
2026-03-01,11533,RS,Cacequi,Combo de Unidade Básica de Saúde (UBS) - 2 Equipamentos,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,316000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CACEQUI
2026-03-01,23408,RS,Cacequi,Retomada - Construção de Unidade Básica de Saúde - UBS,Saúde,Atenção Primária,Retomada de Obras - Saúde,Obra,Concluído,0.0,100.0,2025,Municipal,,Planejamento Setorial,OGU,MS,2026-03-01,CACEQUI
2026-03-01,37138,RS,Cacequi,Unidade Odontológica Móvel (UOM) - 1 Veículo,Saúde,Atenção Primária,Seleção 2025 - Unidade Odontológica Móvel - UOM,Equipamento,Em execução,379890.0,0.0,2027,Federal,,Seleção,OGU,MS,2026-03-01,CACEQUI
2026-03-01,5565,RS,Cachoeira do Sul,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,11.77,2026,Federal,,Seleção,OGU,MS,2026-03-01,CACHOEIRA DO SUL
2026-03-01,5579,RS,Cachoeirinha,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,35.3,2026,Federal,,Seleção,OGU,MS,2026-03-01,CACHOEIRINHA
2026-03-01,5587,RS,Cacique Doble,Combo de Unidade Básica de Saúde (UBS) - 1 Equipamento,Saúde,Atenção Primária,Seleção 2025 - Combo de Equipamentos para UBS,Equipamento,Em execução,158000.0,0.0,2026,Federal,,Seleção,OGU,MS,2026-03-01,CACIQUE DOBLE
